'49 Northwestern Ave, Philadelphia, PA 19128'
'349 E Vernon Rd, Philadelphia, PA 19150'
'375 Morse St, Philadelphia, PA 19131'
'311 Euclid St, Philadelphia, PA 19131'
'317 Euclid St, Philadelphia, PA 19131'
'457 Sherwood Rd, Philadelphia, PA 19131'
'317 N 50th St, Philadelphia, PA 19131'
'334 N 50th St, Philadelphia, PA 19131'
'217 N 52nd St, Philadelphia, PA 19131'
'768 N Aberdeen St, Philadelphia, PA 19131'
'411 Gainor Rd, Philadelphia, PA 19131'
'836 Malvern Ave, Philadelphia, PA 19131'
'970 Woodbine Ave, Philadelphia, PA 19131'
'133 N Hobart St, Philadelphia, PA 19131'
'24 Disston St, Philadelphia, PA 19111'
'027 Tyson Ave, Philadelphia, PA 19111'
'243 Tyson Ave, Philadelphia, PA 19111'
'23 Brighton St, Philadelphia, PA 19111'
'346 Englewood St, Philadelphia, PA 19111'
'228 Bingham St, Philadelphia, PA 19111'
'404 Tabor Ave, Philadelphia, PA 19111'
